date,canal,motif,agent,duree_secondes,statut,satisfaction
2024-01-01,Chat,Assistance technique,Agent E,117,Résolu,4
2024-01-01,Réseaux sociaux,Nouveau contrat,Agent B,255,Non résolu,3
2024-01-02,Réseaux sociaux,Information,Agent C,302,Non résolu,2
2024-01-02,Téléphone,Résiliation,Agent E,159,Résolu,3
2024-01-02,Téléphone,Résiliation,Agent D,741,Résolu,5
2024-01-03,Chat,Nouveau contrat,Agent E,117,Résolu,4
2024-01-04,Chat,Assistance technique,Agent B,464,Non résolu,2
2024-01-04,Chat,Facturation,Agent E,240,Résolu,5
2024-01-05,Téléphone,Information,Agent C,735,Escaladé,2
2024-01-06,Téléphone,Facturation,Agent B,558,Escaladé,3
2024-01-06,Chat,Facturation,Agent A,567,Résolu,3
2024-01-08,Chat,Assistance technique,Agent C,85,Résolu,5
2024-01-08,Réseaux sociaux,Réclamation,Agent E,675,Résolu,4
2024-01-08,Téléphone,Facturation,Agent B,274,Non résolu,1
2024-01-10,Email,Assistance technique,Agent A,1661,Non résolu,1
2024-01-10,Téléphone,Résiliation,Agent C,238,Escaladé,4
2024-01-11,Chat,Assistance technique,Agent B,147,Résolu,5
2024-01-11,Chat,Résiliation,Agent B,70,Résolu,4
2024-01-11,Téléphone,Facturation,Agent A,297,Non résolu,2
2024-01-12,Chat,Résiliation,Agent B,227,Résolu,4
2024-01-12,Réseaux sociaux,Information,Agent E,211,Escaladé,4
2024-01-13,Téléphone,Résiliation,Agent D,147,Non résolu,1
2024-01-13,Email,Assistance technique,Agent C,1205,Escaladé,3
2024-01-13,Téléphone,Réclamation,Agent B,152,Non résolu,1
2024-01-13,Chat,Réclamation,Agent B,94,Résolu,5
2024-01-14,Chat,Résiliation,Agent C,444,Non résolu,1
2024-01-14,Téléphone,Information,Agent D,679,Résolu,4
2024-01-15,Téléphone,Résiliation,Agent B,331,Résolu,3
2024-01-15,Chat,Assistance technique,Agent D,428,Résolu,3
2024-01-15,Téléphone,Assistance technique,Agent A,527,Résolu,3
2024-01-15,Téléphone,Facturation,Agent A,798,Non résolu,1
2024-01-17,Email,Nouveau contrat,Agent C,1461,Résolu,5
2024-01-17,Email,Facturation,Agent E,1670,Résolu,4
2024-01-17,Email,Nouveau contrat,Agent E,332,Escaladé,2
2024-01-17,Téléphone,Réclamation,Agent C,528,Résolu,5
2024-01-17,Téléphone,Nouveau contrat,Agent B,644,Résolu,5
2024-01-17,Téléphone,Facturation,Agent C,287,Non résolu,2
2024-01-17,Chat,Réclamation,Agent C,119,Résolu,3
2024-01-18,Téléphone,Résiliation,Agent C,135,Non résolu,1
2024-01-18,Chat,Réclamation,Agent E,180,Escaladé,2
2024-01-19,Téléphone,Réclamation,Agent C,510,Non résolu,1
2024-01-19,Email,Résiliation,Agent E,474,Résolu,3
2024-01-19,Chat,Réclamation,Agent B,257,Résolu,5
2024-01-19,Chat,Réclamation,Agent C,296,Escaladé,2
2024-01-19,Chat,Nouveau contrat,Agent A,76,Résolu,4
2024-01-19,Téléphone,Nouveau contrat,Agent E,686,Résolu,5
2024-01-20,Email,Assistance technique,Agent B,1242,Non résolu,1
2024-01-20,Email,Facturation,Agent D,1288,Résolu,5
2024-01-21,Email,Assistance technique,Agent B,1024,Escaladé,3
2024-01-21,Téléphone,Assistance technique,Agent C,591,Non résolu,1
2024-01-21,Téléphone,Résiliation,Agent E,700,Résolu,5
2024-01-21,Téléphone,Information,Agent E,221,Résolu,3
2024-01-21,Chat,Nouveau contrat,Agent B,188,Escaladé,4
2024-01-22,Téléphone,Résiliation,Agent E,894,Résolu,4
2024-01-22,Téléphone,Information,Agent E,107,Résolu,5
2024-01-22,Chat,Information,Agent D,188,Escaladé,2
2024-01-22,Réseaux sociaux,Nouveau contrat,Agent A,205,Résolu,4
2024-01-23,Téléphone,Réclamation,Agent B,584,Résolu,3
2024-01-24,Téléphone,Facturation,Agent C,501,Résolu,3
2024-01-24,Téléphone,Assistance technique,Agent B,508,Résolu,5
2024-01-24,Email,Nouveau contrat,Agent B,1777,Non résolu,1
2024-01-25,Téléphone,Nouveau contrat,Agent E,729,Non résolu,2
2024-01-25,Chat,Nouveau contrat,Agent E,550,Résolu,5
2024-01-25,Téléphone,Résiliation,Agent D,693,Non résolu,3
2024-01-25,Email,Résiliation,Agent C,444,Escaladé,3
2024-01-26,Réseaux sociaux,Information,Agent D,413,Non résolu,2
2024-01-26,Réseaux sociaux,Facturation,Agent B,408,Non résolu,1
2024-01-26,Téléphone,Nouveau contrat,Agent D,852,Non résolu,2
2024-01-27,Téléphone,Nouveau contrat,Agent C,401,Résolu,5
2024-01-27,Réseaux sociaux,Réclamation,Agent C,711,Résolu,4
2024-01-27,Téléphone,Réclamation,Agent A,338,Escaladé,3
2024-01-27,Téléphone,Assistance technique,Agent D,680,Non résolu,3
2024-01-28,Chat,Information,Agent A,377,Résolu,5
2024-01-28,Téléphone,Réclamation,Agent C,314,Résolu,3
2024-01-28,Chat,Nouveau contrat,Agent D,63,Non résolu,2
2024-01-28,Téléphone,Nouveau contrat,Agent C,358,Résolu,4
2024-01-28,Email,Nouveau contrat,Agent A,1083,Non résolu,2
2024-01-29,Email,Réclamation,Agent B,631,Résolu,4
2024-01-29,Téléphone,Réclamation,Agent D,119,Résolu,5
2024-01-29,Téléphone,Résiliation,Agent B,809,Non résolu,2
2024-01-29,Email,Assistance technique,Agent E,1095,Non résolu,1
2024-01-29,Téléphone,Assistance technique,Agent A,60,Résolu,4
2024-01-29,Téléphone,Information,Agent A,276,Résolu,5
2024-01-29,Chat,Information,Agent C,143,Non résolu,1
2024-01-30,Téléphone,Résiliation,Agent A,152,Escaladé,3
2024-01-30,Email,Réclamation,Agent D,1694,Escaladé,2
2024-01-31,Chat,Facturation,Agent A,452,Escaladé,2
